,0
0,18914.39730000002
1,18320.41641400003
2,17763.35910399996
3,17550.776214999976
4,17456.409297
5,17868.42295900001
6,18699.983696000025
7,19325.87490599999
8,20157.85099500003
9,20908.995566000005
10,21158.719701
11,21118.771872000034
12,20956.182599999986
13,20556.048599999973
14,20059.594055000023
15,19814.66086700002
16,19949.408484000014
17,21714.672140999995
18,24573.660807999986
19,24999.261538999985
20,24958.867411999978
21,24685.14706700002
22,23722.06169099998
23,22424.230389000004
24,21401.305246999975
25,21038.548830000007
26,21051.451648000017
27,21433.745950000026
28,22377.643933999992
29,24264.298051999976
30,26806.330042
31,28181.599063000016
32,28400.566019999955
33,28324.311842000025
34,28024.944335999986
35,27078.170806999966
36,26053.491832999964
37,24910.497546000042
38,23939.660765000015
39,23461.205823999975
40,23696.170077999974
41,25919.025301000038
42,29183.50184099999
43,29871.761303000014
44,30059.93106299999
45,29552.974764999926
46,27966.222465000006
47,26248.027283000032
48,25291.350028999994
49,25074.11508200002
50,25317.16500200003
51,26049.535965000017
52,27721.113460999994
53,30981.133085000016
54,35576.74162300002
55,36803.06310800001
56,35115.93830199996
57,32975.773987999964
58,31070.35441300001
59,29333.220720999954
60,27829.012660999957
61,26682.367071
62,25705.503267000007
63,25156.576164999977
64,25295.25505899998
65,27377.57027100002
66,30573.255067999984
67,31063.722671999996
68,30937.575462000015
69,29838.03946999999
70,27562.192609000012
71,25191.56698500005
72,23762.303106999934
73,23168.285060999988
74,22994.69697400007
75,23139.677635999964
76,24256.981116000003
77,27000.518426000002
78,31295.447778999966
79,32378.02651399999
80,30857.969970000013
81,29284.75557500004
82,27851.939240000014
83,26721.328474000053
84,25802.115498000036
85,25158.209544000005
86,24608.561576000007
87,24049.563149000016
88,24099.46664199995
89,25448.826697999983
90,27923.89857799998
91,28037.734450000047
92,27727.985224000025
93,26646.855666000018
94,24629.424088000014
95,22457.93512500004
96,21184.661512999985
97,20707.646256999993
98,20579.069790999965
99,20883.219053999957
100,21994.731467999998
101,24851.97447099998
102,29182.30718200001
103,30479.824015999977
104,29117.428088000015
105,27895.47325899999
106,26949.497589000028
107,26047.908704999994
108,25305.56849099999
109,24828.531664000046
110,24345.588248000007
111,24023.337662000027
112,23958.632077999944
113,25050.54952700001
114,27266.97982399995
115,27276.531392000026
116,26858.44443900002
117,25580.284537000007
118,23410.13046100003
119,21216.964160000018
120,19848.774363000026
121,19040.848489999982
122,18690.16089500003
123,18812.860924999994
124,19540.64579999999
125,21762.094077999987
126,25558.021263999974
127,26917.652841000003
128,25933.615805999965
129,25430.438717000026
130,25165.052995000005
131,24725.55968100002
132,24381.261624999977
133,24343.760105
134,24225.44047299996
135,23978.542573000028
136,23657.942949000004
137,24013.20064599994
138,25554.688383000022
139,25076.09952799994
140,24259.657858000042
141,23242.144404000013
142,21844.365433000006
143,20003.112342999957
144,18654.382411999984
145,17681.519391999987
146,17094.448336999994
147,16963.785058999965
148,17221.667870000005
149,18112.41571999999
150,19630.084492999973
151,20970.952138000015
152,22268.41673600002
153,23503.12517800001
154,24077.199177999966
155,24121.415021000015
156,23818.050566000013
157,23294.359692000005
158,22927.94593099998
159,22793.380174999984
160,22726.60411700003
161,23584.348738000015
162,25310.319029000028
163,25213.411811000064
164,24606.072003
165,23703.376923999967
166,22416.32445700001
167,20910.02812800002
168,19543.860839999994
169,18727.111469999967
170,18268.476210000044
171,18177.58085800001
172,18378.453603000016
173,19032.673273
174,20158.627309000003
175,21240.378119999987
176,22293.146529999998
177,23317.469314000016
178,23615.29130900005
179,23597.09655099996
180,23645.451537000023
181,23467.891975999984
182,23173.99628900001
183,23119.39766200004
184,23492.90506100002
185,24995.404464999963
186,26913.19952300009
187,26908.133364000023
188,26227.244511000026
189,24891.146496000038
190,22924.588247000014
191,20750.407233999977
192,19179.18273400001
193,18526.699731000015
194,18426.212791999948
