,theory
0,2051571512.658155
1,1687096317.545328
2,1692759696.4081182
3,1697828515.216305
4,1708723220.367568
5,1711044024.910951
6,1722746783.6894655
7,1729916582.6587257
8,1741234854.1512194
9,1746046398.816301
10,1758305962.4221847
