,theory
0,1679248402.4289904
1,1871477305.10659
2,1926269404.5972521
3,1974615042.7879026
4,2022138671.0328753
5,2060083841.2314239
6,2093816986.1848757
7,2115083066.7263243
8,2140783268.3612165
9,2159401217.2668147
10,2167062231.2032638
