,theory
0,2051571512.658155
1,1734563145.604978
2,1757861288.0782757
3,1780098912.1077344
4,1799365816.467538
5,1818506938.726489
6,1835743810.4370914
7,1845574457.5195663
8,1860318592.7429094
9,1866993724.8085968
10,1869793650.2059157
