,theory
0,2051571512.658155
1,1853983331.6568022
2,1910819670.6380587
3,1960792422.6377702
4,2014955511.2482302
5,2045612041.097732
6,2072818660.9254768
7,2111910781.7434204
8,2127333634.9072618
9,2145133313.9007409
10,2125082141.4141662
