,actual,temperature,precipitation,air_density,cloud_cover
2012/1/5 9:00,35412.41711,14.779,0.003,1.238,0.038
2012/1/5 10:00,34460.68156,18.309,0.002,1.223,0.024
2012/1/5 11:00,33564.11864,20.917,0.002,1.21,0.029
2012/1/5 12:00,32820.76786,21.84,0.001,1.204,0.082
2012/1/5 13:00,32342.95644,22.093,0.001,1.201,0.189
2012/1/5 14:00,31859.2203,21.871,0,1.199,0.458
2012/1/5 15:00,31539.03521,21.162,0,1.199,0.684
2012/1/5 16:00,31470.98739,19.813,0,1.2,0.774
2012/1/5 17:00,32589.88544,18.557,0,1.203,0.848
2012/1/5 18:00,34806.40966,17.918,0,1.206,0.892
2012/1/5 19:00,34815.06021,17.164,0.001,1.209,0.916
2012/1/5 20:00,34397.02123,16.383,0.004,1.211,0.932
2012/1/5 21:00,33115.13236,15.762,0.004,1.214,0.948
2012/1/5 22:00,30955.21896,15.514,0.003,1.215,0.916
2012/1/5 23:00,28747.5977,15.303,0.003,1.216,0.905
2012/1/6 0:00,27240.95172,15.005,0.004,1.216,0.922
2012/1/6 1:00,26422.85638,14.641,0.007,1.215,0.914
2012/1/6 2:00,26068.34194,14.384,0.02,1.215,0.919
2012/1/6 3:00,26192.90879,14.32,0.048,1.214,0.916
2012/1/6 4:00,26922.48516,14.32,0.077,1.214,0.925
2012/1/6 5:00,29138.29654,14.333,0.073,1.213,0.906
2012/1/6 6:00,32938.19739,14.371,0.072,1.213,0.9
2012/1/6 7:00,34297.89379,14.729,0.072,1.213,0.907
2012/1/6 8:00,33313.23938,16.38,0.064,1.213,0.918
2012/1/6 9:00,32811.93058,17.502,0.048,1.212,0.947
2012/1/6 10:00,32633.54337,18.652,0.045,1.209,0.949
2012/1/6 11:00,32260.79082,19.755,0.041,1.204,0.935
2012/1/6 12:00,31921.89524,20.551,0.038,1.199,0.926
2012/1/6 13:00,31842.39281,20.949,0.034,1.196,0.826
2012/1/6 14:00,31596.58015,20.957,0.026,1.194,0.648
2012/1/6 15:00,31359.37793,20.528,0.011,1.194,0.586
2012/1/6 16:00,31193.12529,19.348,0.002,1.196,0.391
2012/1/6 17:00,31551.10635,16.825,0.001,1.199,0.209
2012/1/6 18:00,33093.52191,15.795,0.001,1.203,0.059
2012/1/6 19:00,32614.0513,15.236,0,1.206,0.016
2012/1/6 20:00,31798.5979,14.798,0.001,1.208,0.005
2012/1/6 21:00,30781.14257,14.465,0.001,1.21,0.001
2012/1/6 22:00,29372.46334,14.147,0,1.211,0.001
2012/1/6 23:00,27530.13235,13.844,0.001,1.211,0.002
2012/1/7 0:00,26028.5643,13.592,0.001,1.211,0.003
2012/1/7 1:00,25052.85613,13.388,0.002,1.211,0.005
2012/1/7 2:00,24465.36324,13.237,0.002,1.211,0.021
2012/1/7 3:00,24335.0256,13.154,0.002,1.21,0.113
2012/1/7 4:00,24694.82948,13.414,0.003,1.209,0.2
2012/1/7 5:00,25641.1784,13.678,0.004,1.209,0.23
2012/1/7 6:00,27165.5842,13.684,0.005,1.209,0.209
2012/1/7 7:00,28506.15409,14.087,0.007,1.21,0.154
2012/1/7 8:00,29803.72724,17.122,0.006,1.209,0.134
2012/1/7 9:00,31041.25385,19.272,0.016,1.204,0.074
2012/1/7 10:00,31606.84544,20.992,0.036,1.198,0.04
2012/1/7 11:00,31629.11862,22.061,0.038,1.194,0.04
2012/1/7 12:00,31326.47142,22.782,0.016,1.19,0.038
2012/1/7 13:00,30800.57184,23.218,0.013,1.187,0.041
2012/1/7 14:00,30455.93267,23.28,0.011,1.185,0.044
2012/1/7 15:00,30300.86437,22.955,0.006,1.184,0.089
2012/1/7 16:00,30235.38692,21.606,0.005,1.185,0.066
2012/1/7 17:00,31108.17779,18.853,0.004,1.189,0.122
2012/1/7 18:00,32848.26733,17.59,0.005,1.194,0.539
2012/1/7 19:00,32726.9352,16.675,0.003,1.2,0.805
2012/1/7 20:00,32144.74472,15.839,0.002,1.205,0.697
2012/1/7 21:00,31236.55851,15.003,0.006,1.208,0.543
2012/1/7 22:00,29946.70234,14.472,0.01,1.21,0.733
2012/1/7 23:00,28440.70349,14.22,0.017,1.211,0.921
2012/1/8 0:00,27075.72839,14.046,0.023,1.211,0.94
2012/1/8 1:00,26254.41149,14.169,0.029,1.21,0.928
2012/1/8 2:00,25800.51057,14.605,0.058,1.21,0.978
2012/1/8 3:00,25704.69075,15.027,0.054,1.209,0.99
2012/1/8 4:00,25909.46338,15.172,0.033,1.208,0.981
2012/1/8 5:00,26565.0698,15.265,0.019,1.208,0.795
2012/1/8 6:00,27685.53467,15.109,0.186,1.208,0.635
2012/1/8 7:00,28768.98312,15.444,0.179,1.208,0.613
2012/1/8 8:00,29822.13309,17.765,0.185,1.207,0.49
